"Perimetre","Date","Heures","Taux de Co2"
"France","1/1/2016","0:00","31"
"France","1/1/2016","0:30","31"
"France","1/1/2016","1:00","32"
"France","1/1/2016","1:30","32"
"France","1/1/2016","2:00","32"
"France","1/1/2016","2:30","33"
"France","1/1/2016","3:00","34"
"France","1/1/2016","3:30","35"
"France","1/1/2016","4:00","36"
"France","1/1/2016","4:30","35"
"France","1/1/2016","5:00","36"
"France","1/1/2016","5:30","35"
"France","1/1/2016","6:00","35"
"France","1/1/2016","6:30","35"
"France","1/1/2016","7:00","35"
"France","1/1/2016","7:30","35"
"France","1/1/2016","8:00","35"
"France","1/1/2016","8:30","37"
"France","1/1/2016","9:00","36"
"France","1/1/2016","9:30","34"
"France","1/1/2016","10:00","33"
"France","1/1/2016","10:30","32"
"France","1/1/2016","11:00","32"
"France","1/1/2016","11:30","32"
"France","1/1/2016","12:00","31"
"France","1/1/2016","12:30","31"
"France","1/1/2016","13:00","30"
"France","1/1/2016","13:30","30"
"France","1/1/2016","14:00","31"
"France","1/1/2016","14:30","31"
"France","1/1/2016","15:00","32"
"France","1/1/2016","15:30","32"
"France","1/1/2016","16:00","32"
"France","1/1/2016","16:30","32"
"France","1/1/2016","17:00","32"
"France","1/1/2016","17:30","31"
"France","1/1/2016","18:00","30"
"France","1/1/2016","18:30","29"
"France","1/1/2016","19:00","28"
"France","1/1/2016","19:30","28"
"France","1/1/2016","20:00","28"
"France","1/1/2016","20:30","29"
"France","1/1/2016","21:00","30"
"France","1/1/2016","21:30","30"
"France","1/1/2016","22:00","30"
"France","1/1/2016","22:30","30"
"France","1/1/2016","23:00","29"
"France","1/1/2016","23:30","31"
"France","1/2/2016","0:00","30"
"France","1/2/2016","0:30","31"
"France","1/2/2016","1:00","33"
"France","1/2/2016","1:30","34"
"France","1/2/2016","2:00","34"
"France","1/2/2016","2:30","34"
"France","1/2/2016","3:00","35"
"France","1/2/2016","3:30","35"
"France","1/2/2016","4:00","36"
"France","1/2/2016","4:30","36"
"France","1/2/2016","5:00","36"
"France","1/2/2016","5:30","36"
"France","1/2/2016","6:00","35"
