"Perimetre","Nature","Date","Heures","Ech. physiques","Ech. comm. Angleterre","Ech. comm. Espagne","Ech. comm. Italie","Ech. comm. Suisse","Ech. comm. Allemagne-Belgique"
"France","Données définitives","1/1/2016","0:00","-3907","-1760","-2500","-1494","-3186","4409"
"France","Données définitives","1/1/2016","0:30","-4683","-1760","-2500","-1494","-3186","4409"
"France","Données définitives","1/1/2016","1:00","-5158","-1760","-2600","-1494","-3046","3183"
"France","Données définitives","1/1/2016","1:30","-5838","-1760","-2600","-1494","-3046","3183"
"France","Données définitives","1/1/2016","2:00","-5865","-1760","-2600","-1494","-3032","3412"
"France","Données définitives","1/1/2016","2:30","-5521","-1760","-2600","-1494","-3032","3412"
"France","Données définitives","1/1/2016","3:00","-5626","-1760","-2600","-1494","-3046","4144"
"France","Données définitives","1/1/2016","3:30","-4768","-1760","-2600","-1494","-3046","4144"
"France","Données définitives","1/1/2016","4:00","-5114","-1760","-2600","-1494","-2997","2363"
"France","Données définitives","1/1/2016","4:30","-6728","-1760","-2600","-1494","-2997","2363"
"France","Données définitives","1/1/2016","5:00","-6779","-1760","-2600","-1494","-2977","1540"
"France","Données définitives","1/1/2016","5:30","-7504","-1760","-2600","-1494","-2977","1540"
"France","Données définitives","1/1/2016","6:00","-7621","-1760","-2600","-1494","-3016","1083"
"France","Données définitives","1/1/2016","6:30","-8022","-1760","-2600","-1494","-3016","1083"
"France","Données définitives","1/1/2016","7:00","-7958","-1760","-2421","-1494","-2922","1795"
"France","Données définitives","1/1/2016","7:30","-6983","-1760","-2421","-1494","-2922","1795"
"France","Données définitives","1/1/2016","8:00","-6406","-227","-1744","-1494","-2969","1247"
"France","Données définitives","1/1/2016","8:30","-5351","-227","-1744","-1494","-2969","1247"
"France","Données définitives","1/1/2016","9:00","-5730","-977","-939","-1494","-3044","-1506"
"France","Données définitives","1/1/2016","9:30","-8256","-977","-939","-1494","-3044","-1506"
"France","Données définitives","1/1/2016","10:00","-8300","-2000","-661","-1494","-3033","-1581"
"France","Données définitives","1/1/2016","10:30","-9054","-2000","-661","-1494","-3033","-1656"
"France","Données définitives","1/1/2016","11:00","-9180","-2000","-289","-1494","-3135","-2076"
"France","Données définitives","1/1/2016","11:30","-9286","-2000","-289","-1494","-3135","-2226"
"France","Données définitives","1/1/2016","12:00","-9296","-2000","139","-1494","-3038","-1809"
"France","Données définitives","1/1/2016","12:30","-8276","-2000","139","-1494","-3038","-1809"
"France","Données définitives","1/1/2016","13:00","-8529","-2000","-564","-1494","-3186","-2489"
"France","Données définitives","1/1/2016","13:30","-9914","-2000","-564","-1494","-3186","-2489"
"France","Données définitives","1/1/2016","14:00","-9778","-2000","345","-1494","-3186","-3408"
"France","Données définitives","1/1/2016","14:30","-10087","-2000","345","-1494","-3186","-3408"
"France","Données définitives","1/1/2016","15:00","-10045","-2000","1276","-1494","-3186","-4452"
"France","Données définitives","1/1/2016","15:30","-10115","-2000","1276","-1494","-3186","-4452"
"France","Données définitives","1/1/2016","16:00","-10211","-2000","1477","-1494","-3186","-4708"
"France","Données définitives","1/1/2016","16:30","-10144","-2000","1477","-1494","-3186","-4708"
"France","Données définitives","1/1/2016","17:00","-10338","-2000","1305","-2054","-3186","-3932"
"France","Données définitives","1/1/2016","17:30","-9938","-2000","1305","-2054","-3186","-3932"
"France","Données définitives","1/1/2016","18:00","-10091","-2000","1447","-2614","-3186","-3955"
"France","Données définitives","1/1/2016","18:30","-10482","-2000","1447","-2614","-3186","-3955"
"France","Données définitives","1/1/2016","19:00","-10528","-2000","823","-2995","-3186","-2437"
"France","Données définitives","1/1/2016","19:30","-10094","-2000","823","-2995","-3186","-2437"
"France","Données définitives","1/1/2016","20:00","-9903","-2000","-755","-2995","-3186","-177"
"France","Données définitives","1/1/2016","20:30","-9340","-2000","-755","-2995","-3186","-127"
"France","Données définitives","1/1/2016","21:00","-9524","-2000","-1697","-2995","-3186","-74"
"France","Données définitives","1/1/2016","21:30","-10173","-2000","-1697","-2995","-3186","-74"
"France","Données définitives","1/1/2016","22:00","-9797","-2000","-1185","-2987","-3186","717"
"France","Données définitives","1/1/2016","22:30","-8990","-2000","-1185","-2987","-3186","717"
"France","Données définitives","1/1/2016","23:00","-8712","-2000","-810","-2427","-3186","1887"
"France","Données définitives","1/1/2016","23:30","-6676","-2000","-810","-2427","-3186","1887"
"France","Données définitives","1/2/2016","0:00","-6689","-1480","-1735","-1867","-3186","1406"
"France","Données définitives","1/2/2016","0:30","-6893","-1480","-1735","-1867","-3186","1406"
"France","Données définitives","1/2/2016","1:00","-6967","-1480","-921","-1867","-3186","1870"
"France","Données définitives","1/2/2016","1:30","-5710","-1480","-921","-1867","-3186","1945"
"France","Données définitives","1/2/2016","2:00","-5702","-1480","218","-1867","-3186","487"
"France","Données définitives","1/2/2016","2:30","-6078","-1480","218","-1867","-3186","487"
"France","Données définitives","1/2/2016","3:00","-6476","-1480","1166","-1867","-3186","-1858"
"France","Données définitives","1/2/2016","3:30","-7418","-1480","1166","-1867","-3186","-1808"
"France","Données définitives","1/2/2016","4:00","-7965","-1480","1352","-1867","-3186","-2771"
"France","Données définitives","1/2/2016","4:30","-8156","-1480","1352","-1867","-3186","-2771"
"France","Données définitives","1/2/2016","5:00","-8091","-1480","1645","-1867","-3186","-2510"
"France","Données définitives","1/2/2016","5:30","-7504","-1480","1645","-1867","-3186","-2510"
"France","Données définitives","1/2/2016","6:00","-7758","-1480","938","-1867","-3186","-2359"
"France","Données définitives","1/2/2016","6:30","-8095","-1480","938","-1867","-3186","-2359"
"France","Données définitives","1/2/2016","7:00","-8157","-1480","226","-1867","-3188","-315"
"France","Données définitives","1/2/2016","7:30","-6855","-1480","226","-1867","-3188","-315"
"France","Données définitives","1/2/2016","8:00","-6845","-1480","-1415","-1867","-3188","327"
"France","Données définitives","1/2/2016","8:30","-7934","-1480","-1415","-1867","-3188","327"
"France","Données définitives","1/2/2016","9:00","-8517","-1480","-2500","-1867","-3186","-353"
"France","Données définitives","1/2/2016","9:30","-9686","-1480","-2500","-1867","-3186","-353"
"France","Données définitives","1/2/2016","10:00","-9827","-2000","-2500","-1867","-3186","-49"
"France","Données définitives","1/2/2016","10:30","-10060","-2000","-2500","-1867","-3186","-49"
"France","Données définitives","1/2/2016","11:00","-9935","-2000","-2500","-1867","-3188","-122"
"France","Données définitives","1/2/2016","11:30","-9997","-2000","-2500","-1867","-3188","-122"
"France","Données définitives","1/2/2016","12:00","-9875","-2000","-2500","-1867","-3186","709"
"France","Données définitives","1/2/2016","12:30","-9189","-2000","-2500","-1867","-3186","709"
"France","Données définitives","1/2/2016","13:00","-9227","-2000","-2500","-1867","-3186","765"
"France","Données définitives","1/2/2016","13:30","-9146","-2000","-2500","-1867","-3186","765"
"France","Données définitives","1/2/2016","14:00","-9175","-2000","-2500","-1867","-3186","-395"
"France","Données définitives","1/2/2016","14:30","-10460","-2000","-2500","-1867","-3186","-395"
"France","Données définitives","1/2/2016","15:00","-10378","-2000","-2500","-1867","-3186","-1256"
"France","Données définitives","1/2/2016","15:30","-11214","-2000","-2500","-1867","-3186","-1256"
"France","Données définitives","1/2/2016","16:00","-11256","-2000","-2500","-1867","-3186","-1854"
"France","Données définitives","1/2/2016","16:30","-11798","-2000","-2500","-1867","-3186","-1854"
"France","Données définitives","1/2/2016","17:00","-11747","-2000","-2475","-2427","-3188","-1217"
"France","Données définitives","1/2/2016","17:30","-11656","-2000","-2475","-2427","-3188","-1217"
"France","Données définitives","1/2/2016","18:00","-11504","-2000","-2490","-2987","-3188","219"
"France","Données définitives","1/2/2016","18:30","-10803","-2000","-2490","-2987","-3188","219"
"France","Données définitives","1/2/2016","19:00","-10566","-2000","-2500","-3150","-3188","1134"
"France","Données définitives","1/2/2016","19:30","-9986","-2000","-2500","-3150","-3188","1134"
"France","Données définitives","1/2/2016","20:00","-9917","-2000","-2500","-3150","-3186","1114"
"France","Données définitives","1/2/2016","20:30","-9965","-2000","-2500","-3150","-3186","1114"
"France","Données définitives","1/2/2016","21:00","-9957","-2000","-2500","-3150","-3186","920"
"France","Données définitives","1/2/2016","21:30","-10234","-2000","-2500","-3150","-3186","920"
"France","Données définitives","1/2/2016","22:00","-10131","-2000","-2500","-2614","-3186","1205"
"France","Données définitives","1/2/2016","22:30","-9570","-2000","-2500","-2614","-3186","1255"
"France","Données définitives","1/2/2016","23:00","-9257","-2000","-2400","-2029","-3186","1710"
"France","Données définitives","1/2/2016","23:30","-8536","-2000","-2400","-2029","-3186","1710"
"France","Données définitives","1/3/2016","0:00","-8007","-1500","-2500","-1494","-3186","1969"
"France","Données définitives","1/3/2016","0:30","-6816","-1500","-2500","-1494","-3186","1969"
"France","Données définitives","1/3/2016","1:00","-7020","-1500","-2553","-1494","-2989","2719"
"France","Données définitives","1/3/2016","1:30","-6194","-1500","-2553","-1494","-2989","2719"
"France","Données définitives","1/3/2016","2:00","-6033","-1500","-858","-1494","-2970","2902"
"France","Données définitives","1/3/2016","2:30","-4209","-1500","-858","-1494","-2970","2902"
"France","Données définitives","1/3/2016","3:00","-4277","-1500","-389","-1494","-2979","3183"
"France","Données définitives","1/3/2016","3:30","-3372","-1500","-389","-1494","-2979","3183"
"France","Données définitives","1/3/2016","4:00","-3445","-1500","156","-1494","-2969","1614"
"France","Données définitives","1/3/2016","4:30","-4605","-1500","156","-1494","-2969","1614"
"France","Données définitives","1/3/2016","5:00","-4322","-1500","965","-1494","-2995","2257"
"France","Données définitives","1/3/2016","5:30","-2840","-1500","965","-1494","-2995","2257"
"France","Données définitives","1/3/2016","6:00","-3173","-1500","125","-1494","-2995","3000"
"France","Données définitives","1/3/2016","6:30","-3195","-1500","125","-1494","-2995","3000"
"France","Données définitives","1/3/2016","7:00","-3155","-1500","1271","-1494","-2954","1473"
"France","Données définitives","1/3/2016","7:30","-3422","-1500","1271","-1494","-2954","1473"
"France","Données définitives","1/3/2016","8:00","-3406","-1500","1323","-1494","-2890","843"
"France","Données définitives","1/3/2016","8:30","-4083","-1500","1323","-1494","-2890","843"
"France","Données définitives","1/3/2016","9:00","-4634","-1500","1408","-1494","-3186","-199"
"France","Données définitives","1/3/2016","9:30","-5228","-1500","1408","-1494","-3186","-199"
"France","Données définitives","1/3/2016","10:00","-5664","-2000","-706","-1494","-3186","577"
"France","Données définitives","1/3/2016","10:30","-7078","-2000","-706","-1494","-3186","577"
"France","Données définitives","1/3/2016","11:00","-7085","-2000","1031","-1494","-3188","-1571"
"France","Données définitives","1/3/2016","11:30","-7708","-2000","1031","-1494","-3188","-1571"
"France","Données définitives","1/3/2016","12:00","-7347","-2000","1909","-1494","-3188","-1572"
"France","Données définitives","1/3/2016","12:30","-7004","-2000","1909","-1494","-3188","-1572"
"France","Données définitives","1/3/2016","13:00","-6695","-2000","585","-1494","-3186","-513"
"France","Données définitives","1/3/2016","13:30","-6894","-2000","585","-1494","-3186","-513"
"France","Données définitives","1/3/2016","14:00","-7127","-2000","181","-1494","-3186","-675"
"France","Données définitives","1/3/2016","14:30","-7671","-2000","181","-1494","-3186","-600"
"France","Données définitives","1/3/2016","15:00","-7608","-2000","1459","-1494","-3186","-3124"
"France","Données définitives","1/3/2016","15:30","-8732","-2000","1459","-1494","-3186","-3124"
"France","Données définitives","1/3/2016","16:00","-8724","-2000","2165","-1494","-3186","-3357"
"France","Données définitives","1/3/2016","16:30","-8348","-2000","2165","-1494","-3186","-3357"
"France","Données définitives","1/3/2016","17:00","-8422","-2000","2200","-2054","-3186","-2718"
"France","Données définitives","1/3/2016","17:30","-8060","-2000","2200","-2054","-3186","-2718"
"France","Données définitives","1/3/2016","18:00","-8267","-2000","1835","-2614","-3186","-2659"
"France","Données définitives","1/3/2016","18:30","-8909","-2000","1835","-2614","-3186","-2659"
"France","Données définitives","1/3/2016","19:00","-9017","-2000","433","-2995","-3186","510"
"France","Données définitives","1/3/2016","19:30","-7639","-2000","433","-2995","-3186","510"
"France","Données définitives","1/3/2016","20:00","-7666","-2000","-1000","-2995","-3186","1973"
"France","Données définitives","1/3/2016","20:30","-7482","-2000","-1000","-2995","-3186","1973"
"France","Données définitives","1/3/2016","21:00","-7621","-2000","-1713","-2995","-3186","2026"
"France","Données définitives","1/3/2016","21:30","-8218","-2000","-1713","-2995","-3186","1826"
"France","Données définitives","1/3/2016","22:00","-8198","-2000","-1236","-2987","-3186","2340"
"France","Données définitives","1/3/2016","22:30","-7388","-2000","-1236","-2987","-3186","2840"
"France","Données définitives","1/3/2016","23:00","-6747","-2000","-952","-2427","-3186","3927"
"France","Données définitives","1/3/2016","23:30","-4771","-2000","-952","-2427","-3186","3927"
"France","Données définitives","1/4/2016","0:00","-4679","-1560","2043","-1867","-3027","-412"
"France","Données définitives","1/4/2016","0:30","-5350","-1560","2043","-1867","-3027","-412"
"France","Données définitives","1/4/2016","1:00","-5170","-1560","2200","-1867","-2992","-1200"
"France","Données définitives","1/4/2016","1:30","-5759","-1560","2200","-1867","-2992","-1200"
"France","Données définitives","1/4/2016","2:00","-5877","-1560","2200","-1867","-2991","-1954"
"France","Données définitives","1/4/2016","2:30","-6514","-1560","2200","-1867","-2991","-1954"
"France","Données définitives","1/4/2016","3:00","-6599","-1560","2038","-1867","-3036","-4063"
"France","Données définitives","1/4/2016","3:30","-8843","-1560","2038","-1867","-3036","-4063"
"France","Données définitives","1/4/2016","4:00","-8743","-1560","2037","-1867","-3017","-3296"
"France","Données définitives","1/4/2016","4:30","-8379","-1560","2037","-1867","-3017","-3296"
"France","Données définitives","1/4/2016","5:00","-8359","-1560","2200","-2427","-2967","-2439"
"France","Données définitives","1/4/2016","5:30","-7554","-1560","2200","-2427","-2967","-2439"
"France","Données définitives","1/4/2016","6:00","-7671","-1560","2194","-2987","-3161","-794"
"France","Données définitives","1/4/2016","6:30","-6576","-1560","2194","-2987","-3161","-794"
"France","Données définitives","1/4/2016","7:00","-6629","-2000","1546","-3150","-3188","1282"
"France","Données définitives","1/4/2016","7:30","-5907","-2000","1546","-3150","-3188","1282"
"France","Données définitives","1/4/2016","8:00","-6352","-2000","-1478","-3150","-3188","1881"
"France","Données définitives","1/4/2016","8:30","-8890","-2000","-1478","-3150","-3188","1881"
"France","Données définitives","1/4/2016","9:00","-8741","-2000","-2453","-3150","-3186","431"
"France","Données définitives","1/4/2016","9:30","-10604","-2000","-2453","-3150","-3186","431"
"France","Données définitives","1/4/2016","10:00","-10644","-2000","-2425","-3150","-3186","-125"
"France","Données définitives","1/4/2016","10:30","-11190","-2000","-2425","-3150","-3186","-125"
"France","Données définitives","1/4/2016","11:00","-11349","-2000","-2040","-3150","-3188","-1679"
"France","Données définitives","1/4/2016","11:30","-12453","-2000","-2040","-3150","-3188","-1679"
"France","Données définitives","1/4/2016","12:00","-12417","-2000","-1734","-3150","-3186","-1365"
"France","Données définitives","1/4/2016","12:30","-11653","-2000","-1734","-3150","-3186","-1365"
"France","Données définitives","1/4/2016","13:00","-11813","-2000","-2004","-3150","-3186","-796"
"France","Données définitives","1/4/2016","13:30","-11559","-2000","-2004","-3150","-3186","-796"
"France","Données définitives","1/4/2016","14:00","-11277","-2000","-1940","-3150","-3186","-1011"
"France","Données définitives","1/4/2016","14:30","-11740","-2000","-1940","-3150","-3186","-1011"
"France","Données définitives","1/4/2016","15:00","-11633","-2000","-1386","-3150","-3186","-1957"
"France","Données définitives","1/4/2016","15:30","-11906","-2000","-1386","-3150","-3186","-1957"
"France","Données définitives","1/4/2016","16:00","-11998","-2000","-1232","-3150","-3186","-2697"
"France","Données définitives","1/4/2016","16:30","-12615","-2000","-1232","-3150","-3186","-2697"
"France","Données définitives","1/4/2016","17:00","-12577","-2000","369","-3150","-3038","-2887"
"France","Données définitives","1/4/2016","17:30","-11034","-2000","369","-3150","-3038","-2887"
"France","Données définitives","1/4/2016","18:00","-10992","-2000","-81","-3146","-3038","-1715"
"France","Données définitives","1/4/2016","18:30","-10381","-2000","-81","-3146","-3038","-1715"
"France","Données définitives","1/4/2016","19:00","-10307","-2000","-722","-3093","-3188","-1048"
"France","Données définitives","1/4/2016","19:30","-10326","-2000","-722","-3093","-3188","-1048"
"France","Données définitives","1/4/2016","20:00","-10604","-2000","-2192","-3150","-3186","463"
"France","Données définitives","1/4/2016","20:30","-10459","-2000","-2192","-3150","-3186","463"
"France","Données définitives","1/4/2016","21:00","-10378","-2000","-2500","-3150","-3186","2071"
"France","Données définitives","1/4/2016","21:30","-9413","-2000","-2500","-3150","-3186","2071"
"France","Données définitives","1/4/2016","22:00","-9175","-2000","-2175","-3150","-3186","2465"
"France","Données définitives","1/4/2016","22:30","-8642","-2000","-2175","-3150","-3186","2465"
"France","Données définitives","1/4/2016","23:00","-8207","-2000","-502","-2995","-3186","1635"
"France","Données définitives","1/4/2016","23:30","-7557","-2000","-502","-2995","-3186","1635"
"France","Données définitives","1/5/2016","0:00","-7211","-1900","2350","-2995","-3101","-523"
"France","Données définitives","1/5/2016","0:30","-6693","-1900","2350","-2995","-3101","-523"
"France","Données définitives","1/5/2016","1:00","-6659","-1900","2200","-2572","-3099","-1231"
"France","Données définitives","1/5/2016","1:30","-7151","-1900","2200","-2572","-3099","-1231"
"France","Données définitives","1/5/2016","2:00","-7410","-1900","2100","-1916","-3074","-2818"
"France","Données définitives","1/5/2016","2:30","-8154","-1900","2100","-1916","-3074","-2818"
"France","Données définitives","1/5/2016","3:00","-8051","-1900","2150","-1754","-3186","-3871"
"France","Données définitives","1/5/2016","3:30","-9088","-1900","2150","-1754","-3186","-3871"
"France","Données définitives","1/5/2016","4:00","-9061","-1900","2150","-2381","-3186","-4192"
"France","Données définitives","1/5/2016","4:30","-10009","-1900","2150","-2381","-3186","-4192"
"France","Données définitives","1/5/2016","5:00","-9878","-1900","2151","-2995","-3046","-1945"
"France","Données définitives","1/5/2016","5:30","-8183","-1900","2151","-2995","-3046","-1945"
"France","Données définitives","1/5/2016","6:00","-7942","-1900","2200","-2995","-3186","-202"
"France","Données définitives","1/5/2016","6:30","-6683","-1900","2200","-2995","-3186","-202"
"France","Données définitives","1/5/2016","7:00","-6554","-2000","2300","-3150","-3188","-584"
"France","Données définitives","1/5/2016","7:30","-7025","-2000","2300","-3150","-3188","-584"
"France","Données définitives","1/5/2016","8:00","-7133","-2000","1844","-3150","-3188","-1178"
"France","Données définitives","1/5/2016","8:30","-8218","-2000","1844","-3150","-3188","-1178"
"France","Données définitives","1/5/2016","9:00","-8211","-2000","859","-3150","-3186","-1820"
"France","Données définitives","1/5/2016","9:30","-9837","-2000","859","-3150","-3186","-1820"
"France","Données définitives","1/5/2016","10:00","-9838","-2000","454","-3150","-3186","-1293"
"France","Données définitives","1/5/2016","10:30","-9588","-2000","454","-3150","-3186","-1293"
"France","Données définitives","1/5/2016","11:00","-9619","-2000","1076","-3150","-3188","-1974"
"France","Données définitives","1/5/2016","11:30","-9526","-2000","1076","-3150","-3188","-1974"
"France","Données définitives","1/5/2016","12:00","-9595","-2000","1666","-3150","-3186","-2463"
"France","Données définitives","1/5/2016","12:30","-9488","-2000","1666","-3150","-3186","-2463"
"France","Données définitives","1/5/2016","13:00","-9545","-2000","1194","-3150","-3186","-2234"
"France","Données définitives","1/5/2016","13:30","-9781","-2000","1194","-3150","-3186","-2234"
"France","Données définitives","1/5/2016","14:00","-9610","-2000","2119","-3150","-3186","-2625"
"France","Données définitives","1/5/2016","14:30","-9319","-2000","2119","-3150","-3186","-2625"
"France","Données définitives","1/5/2016","15:00","-9292","-2000","2298","-3150","-3186","-2829"
"France","Données définitives","1/5/2016","15:30","-9279","-2000","2298","-3150","-3186","-2829"
"France","Données définitives","1/5/2016","16:00","-9359","-2000","2130","-3150","-3186","-3075"
"France","Données définitives","1/5/2016","16:30","-9951","-2000","2130","-3150","-3186","-3075"
"France","Données définitives","1/5/2016","17:00","-9705","-2000","2350","-3150","-3188","-2594"
"France","Données définitives","1/5/2016","17:30","-8908","-2000","2350","-3150","-3188","-2594"
"France","Données définitives","1/5/2016","18:00","-9046","-2000","1892","-3150","-3182","-1565"
"France","Données définitives","1/5/2016","18:30","-8331","-2000","1892","-3150","-3182","-1565"
"France","Données définitives","1/5/2016","19:00","-8332","-2000","943","-3150","-3188","-640"
"France","Données définitives","1/5/2016","19:30","-8378","-2000","943","-3150","-3188","-640"
"France","Données définitives","1/5/2016","20:00","-8370","-2000","-160","-3150","-3186","-412"
"France","Données définitives","1/5/2016","20:30","-9217","-2000","-160","-3150","-3186","-412"
"France","Données définitives","1/5/2016","21:00","-8308","-2000","-795","-3149","-3186","17"
"France","Données définitives","1/5/2016","21:30","-8946","-2000","-795","-3149","-3186","17"
"France","Données définitives","1/5/2016","22:00","-8901","-1495","167","-2987","-3186","70"
"France","Données définitives","1/5/2016","22:30","-7821","-1495","167","-2987","-3186","89"
"France","Données définitives","1/5/2016","23:00","-7465","-1495","2083","-2427","-3186","1326"
"France","Données définitives","1/5/2016","23:30","-3979","-1495","2083","-2427","-3186","1326"
