"Perimetre","Date","Heures","Consommation"
"France","1/1/2016","0:00","60165"
"France","1/1/2016","0:30","58887"
"France","1/1/2016","1:00","56678"
"France","1/1/2016","1:30","56460"
"France","1/1/2016","2:00","55780"
"France","1/1/2016","2:30","55233"
"France","1/1/2016","3:00","53160"
"France","1/1/2016","3:30","51648"
"France","1/1/2016","4:00","50207"
"France","1/1/2016","4:30","49345"
"France","1/1/2016","5:00","48657"
"France","1/1/2016","5:30","48865"
"France","1/1/2016","6:00","48743"
"France","1/1/2016","6:30","49216"
"France","1/1/2016","7:00","49108"
"France","1/1/2016","7:30","49339"
"France","1/1/2016","8:00","49548"
"France","1/1/2016","8:30","49061"
"France","1/1/2016","9:00","48939"
"France","1/1/2016","9:30","49651"
"France","1/1/2016","10:00","50517"
"France","1/1/2016","10:30","51398"
"France","1/1/2016","11:00","52328"
"France","1/1/2016","11:30","53468"
"France","1/1/2016","12:00","54333"
"France","1/1/2016","12:30","55627"
"France","1/1/2016","13:00","56743"
"France","1/1/2016","13:30","55446"
"France","1/1/2016","14:00","54300"
"France","1/1/2016","14:30","53532"
"France","1/1/2016","15:00","52234"
"France","1/1/2016","15:30","52039"
"France","1/1/2016","16:00","51658"
"France","1/1/2016","16:30","51696"
"France","1/1/2016","17:00","52325"
"France","1/1/2016","17:30","54935"
"France","1/1/2016","18:00","56975"
"France","1/1/2016","18:30","58143"
"France","1/1/2016","19:00","59254"
"France","1/1/2016","19:30","59488"
"France","1/1/2016","20:00","59008"
"France","1/1/2016","20:30","58173"
"France","1/1/2016","21:00","57091"
"France","1/1/2016","21:30","56059"
"France","1/1/2016","22:00","55107"
"France","1/1/2016","22:30","55609"
"France","1/1/2016","23:00","58199"
"France","1/1/2016","23:30","57539"
"France","1/2/2016","0:00","57349"
"France","1/2/2016","0:30","55462"
"France","1/2/2016","1:00","52726"
"France","1/2/2016","1:30","52236"
"France","1/2/2016","2:00","51509"
"France","1/2/2016","2:30","50896"
"France","1/2/2016","3:00","49009"
"France","1/2/2016","3:30","47970"
"France","1/2/2016","4:00","46945"
"France","1/2/2016","4:30","46599"
"France","1/2/2016","5:00","46528"
"France","1/2/2016","5:30","47300"
"France","1/2/2016","6:00","47741"
"France","1/2/2016","6:30","48821"
"France","1/2/2016","7:00","49417"
"France","1/2/2016","7:30","50505"
"France","1/2/2016","8:00","51520"
"France","1/2/2016","8:30","52313"
"France","1/2/2016","9:00","52975"
"France","1/2/2016","9:30","54574"
"France","1/2/2016","10:00","55737"
"France","1/2/2016","10:30","56687"
"France","1/2/2016","11:00","57237"
"France","1/2/2016","11:30","57965"
"France","1/2/2016","12:00","58954"
"France","1/2/2016","12:30","60075"
"France","1/2/2016","13:00","61223"
"France","1/2/2016","13:30","59989"
"France","1/2/2016","14:00","58683"
"France","1/2/2016","14:30","58154"
"France","1/2/2016","15:00","56593"
"France","1/2/2016","15:30","56223"
"France","1/2/2016","16:00","55621"
"France","1/2/2016","16:30","55522"
"France","1/2/2016","17:00","56053"
"France","1/2/2016","17:30","58321"
"France","1/2/2016","18:00","60935"
"France","1/2/2016","18:30","62191"
"France","1/2/2016","19:00","63353"
"France","1/2/2016","19:30","63251"
"France","1/2/2016","20:00","62407"
"France","1/2/2016","20:30","60962"
"France","1/2/2016","21:00","59637"
"France","1/2/2016","21:30","58265"
"France","1/2/2016","22:00","57308"
"France","1/2/2016","22:30","58010"
"France","1/2/2016","23:00","60921"
"France","1/2/2016","23:30","60339"
"France","1/3/2016","0:00","60236"
"France","1/3/2016","0:30","58554"
"France","1/3/2016","1:00","55827"
"France","1/3/2016","1:30","55362"
"France","1/3/2016","2:00","54405"
"France","1/3/2016","2:30","53524"
"France","1/3/2016","3:00","51538"
"France","1/3/2016","3:30","50184"
"France","1/3/2016","4:00","48928"
"France","1/3/2016","4:30","48359"
"France","1/3/2016","5:00","48009"
"France","1/3/2016","5:30","48464"
"France","1/3/2016","6:00","48724"
"France","1/3/2016","6:30","49440"
"France","1/3/2016","7:00","49854"
"France","1/3/2016","7:30","50612"
"France","1/3/2016","8:00","51397"
"France","1/3/2016","8:30","51983"
"France","1/3/2016","9:00","52612"
"France","1/3/2016","9:30","54093"
"France","1/3/2016","10:00","55494"
"France","1/3/2016","10:30","56864"
"France","1/3/2016","11:00","57856"
"France","1/3/2016","11:30","59023"
"France","1/3/2016","12:00","60198"
"France","1/3/2016","12:30","61664"
"France","1/3/2016","13:00","62613"
"France","1/3/2016","13:30","61020"
"France","1/3/2016","14:00","59405"
"France","1/3/2016","14:30","58860"
"France","1/3/2016","15:00","57536"
"France","1/3/2016","15:30","57213"
"France","1/3/2016","16:00","56866"
"France","1/3/2016","16:30","56968"
"France","1/3/2016","17:00","57407"
"France","1/3/2016","17:30","59868"
"France","1/3/2016","18:00","62048"
"France","1/3/2016","18:30","63655"
"France","1/3/2016","19:00","65289"
"France","1/3/2016","19:30","65180"
"France","1/3/2016","20:00","64325"
"France","1/3/2016","20:30","62771"
"France","1/3/2016","21:00","61528"
"France","1/3/2016","21:30","60018"
"France","1/3/2016","22:00","58578"
"France","1/3/2016","22:30","58899"
"France","1/3/2016","23:00","61481"
"France","1/3/2016","23:30","60619"
"France","1/4/2016","0:00","60405"
"France","1/4/2016","0:30","58702"
"France","1/4/2016","1:00","56285"
"France","1/4/2016","1:30","55920"
"France","1/4/2016","2:00","55275"
"France","1/4/2016","2:30","54833"
"France","1/4/2016","3:00","52952"
"France","1/4/2016","3:30","51940"
"France","1/4/2016","4:00","50926"
"France","1/4/2016","4:30","50888"
"France","1/4/2016","5:00","51420"
"France","1/4/2016","5:30","53508"
"France","1/4/2016","6:00","55569"
"France","1/4/2016","6:30","59526"
"France","1/4/2016","7:00","63041"
"France","1/4/2016","7:30","66450"
"France","1/4/2016","8:00","68554"
"France","1/4/2016","8:30","69153"
"France","1/4/2016","9:00","69045"
"France","1/4/2016","9:30","69542"
"France","1/4/2016","10:00","69611"
"France","1/4/2016","10:30","69485"
"France","1/4/2016","11:00","69395"
"France","1/4/2016","11:30","69737"
"France","1/4/2016","12:00","70083"
"France","1/4/2016","12:30","69558"
"France","1/4/2016","13:00","70013"
"France","1/4/2016","13:30","68792"
"France","1/4/2016","14:00","68302"
"France","1/4/2016","14:30","67812"
"France","1/4/2016","15:00","66455"
"France","1/4/2016","15:30","66000"
"France","1/4/2016","16:00","65780"
"France","1/4/2016","16:30","65874"
"France","1/4/2016","17:00","66436"
"France","1/4/2016","17:30","69039"
"France","1/4/2016","18:00","71630"
"France","1/4/2016","18:30","73019"
"France","1/4/2016","19:00","74625"
"France","1/4/2016","19:30","73813"
"France","1/4/2016","20:00","71880"
"France","1/4/2016","20:30","69753"
"France","1/4/2016","21:00","67485"
"France","1/4/2016","21:30","65462"
"France","1/4/2016","22:00","63758"
"France","1/4/2016","22:30","63812"
"France","1/4/2016","23:00","66202"
"France","1/4/2016","23:30","65233"
"France","1/5/2016","0:00","64808"
"France","1/5/2016","0:30","63039"
"France","1/5/2016","1:00","60345"
"France","1/5/2016","1:30","59692"
"France","1/5/2016","2:00","59055"
"France","1/5/2016","2:30","58729"
"France","1/5/2016","3:00","56913"
"France","1/5/2016","3:30","55883"
"France","1/5/2016","4:00","54977"
"France","1/5/2016","4:30","55010"
"France","1/5/2016","5:00","55527"
"France","1/5/2016","5:30","57418"
"France","1/5/2016","6:00","59347"
"France","1/5/2016","6:30","63175"
"France","1/5/2016","7:00","66707"
"France","1/5/2016","7:30","70148"
"France","1/5/2016","8:00","72166"
"France","1/5/2016","8:30","72556"
"France","1/5/2016","9:00","72244"
"France","1/5/2016","9:30","72114"
"France","1/5/2016","10:00","72103"
"France","1/5/2016","10:30","71813"
"France","1/5/2016","11:00","71847"
"France","1/5/2016","11:30","72234"
"France","1/5/2016","12:00","72454"
"France","1/5/2016","12:30","72026"
"France","1/5/2016","13:00","72049"
"France","1/5/2016","13:30","71206"
"France","1/5/2016","14:00","70715"
"France","1/5/2016","14:30","70415"
"France","1/5/2016","15:00","69238"
"France","1/5/2016","15:30","68918"
"France","1/5/2016","16:00","68514"
"France","1/5/2016","16:30","68377"
"France","1/5/2016","17:00","69193"
"France","1/5/2016","17:30","71608"
"France","1/5/2016","18:00","74209"
"France","1/5/2016","18:30","75472"
"France","1/5/2016","19:00","76979"
"France","1/5/2016","19:30","75981"
"France","1/5/2016","20:00","73898"
"France","1/5/2016","20:30","71660"
"France","1/5/2016","21:00","69309"
"France","1/5/2016","21:30","66927"
"France","1/5/2016","22:00","65307"
"France","1/5/2016","22:30","65253"
"France","1/5/2016","23:00","67630"
"France","1/5/2016","23:30","66639"
"France","1/6/2016","0:00","66324"
"France","1/6/2016","0:30","64264"
"France","1/6/2016","1:00","61473"
"France","1/6/2016","1:30","61031"
"France","1/6/2016","2:00","60296"
"France","1/6/2016","2:30","59867"
"France","1/6/2016","3:00","58189"
"France","1/6/2016","3:30","57186"
"France","1/6/2016","4:00","56316"
"France","1/6/2016","4:30","56404"
"France","1/6/2016","5:00","56461"
"France","1/6/2016","5:30","58358"
"France","1/6/2016","6:00","60263"
"France","1/6/2016","6:30","64043"
"France","1/6/2016","7:00","67296"
"France","1/6/2016","7:30","70988"
"France","1/6/2016","8:00","73174"
"France","1/6/2016","8:30","73850"
"France","1/6/2016","9:00","73530"
"France","1/6/2016","9:30","73597"
"France","1/6/2016","10:00","73283"
"France","1/6/2016","10:30","73246"
"France","1/6/2016","11:00","73023"
"France","1/6/2016","11:30","73325"
"France","1/6/2016","12:00","73502"
"France","1/6/2016","12:30","73070"
"France","1/6/2016","13:00","72912"
"France","1/6/2016","13:30","71932"
"France","1/6/2016","14:00","71359"
"France","1/6/2016","14:30","71129"
"France","1/6/2016","15:00","69682"
"France","1/6/2016","15:30","69042"
"France","1/6/2016","16:00","68515"
"France","1/6/2016","16:30","68398"
"France","1/6/2016","17:00","69005"
"France","1/6/2016","17:30","71486"
"France","1/6/2016","18:00","74069"
"France","1/6/2016","18:30","75504"
"France","1/6/2016","19:00","76927"
"France","1/6/2016","19:30","76027"
"France","1/6/2016","20:00","73980"
"France","1/6/2016","20:30","71684"
"France","1/6/2016","21:00","69366"
"France","1/6/2016","21:30","67380"
"France","1/6/2016","22:00","65695"
"France","1/6/2016","22:30","65665"
"France","1/6/2016","23:00","67879"
"France","1/6/2016","23:30","66922"
"France","1/7/2016","0:00","66912"
"France","1/7/2016","0:30","64871"
"France","1/7/2016","1:00","62029"
"France","1/7/2016","1:30","61537"
"France","1/7/2016","2:00","60950"
"France","1/7/2016","2:30","60372"
"France","1/7/2016","3:00","58480"
"France","1/7/2016","3:30","57508"
"France","1/7/2016","4:00","56448"
"France","1/7/2016","4:30","56359"
"France","1/7/2016","5:00","56348"
"France","1/7/2016","5:30","58545"
"France","1/7/2016","6:00","60113"
"France","1/7/2016","6:30","63904"
"France","1/7/2016","7:00","67595"
"France","1/7/2016","7:30","71102"
"France","1/7/2016","8:00","72859"
"France","1/7/2016","8:30","73063"
"France","1/7/2016","9:00","73024"
"France","1/7/2016","9:30","73148"
"France","1/7/2016","10:00","73173"
"France","1/7/2016","10:30","73068"
"France","1/7/2016","11:00","72950"
"France","1/7/2016","11:30","72984"
"France","1/7/2016","12:00","73372"
"France","1/7/2016","12:30","72385"
"France","1/7/2016","13:00","72460"
"France","1/7/2016","13:30","71308"
"France","1/7/2016","14:00","70644"
"France","1/7/2016","14:30","70263"
"France","1/7/2016","15:00","68773"
"France","1/7/2016","15:30","68246"
"France","1/7/2016","16:00","67648"
"France","1/7/2016","16:30","67591"
"France","1/7/2016","17:00","68230"
"France","1/7/2016","17:30","70300"
"France","1/7/2016","18:00","73255"
"France","1/7/2016","18:30","74725"
"France","1/7/2016","19:00","76289"
"France","1/7/2016","19:30","75362"
"France","1/7/2016","20:00","73390"
"France","1/7/2016","20:30","71162"
"France","1/7/2016","21:00","68779"
"France","1/7/2016","21:30","66876"
"France","1/7/2016","22:00","65090"
"France","1/7/2016","22:30","64927"
"France","1/7/2016","23:00","67481"
"France","1/7/2016","23:30","66486"
"France","1/8/2016","0:00","66360"
"France","1/8/2016","0:30","64422"
"France","1/8/2016","1:00","61631"
"France","1/8/2016","1:30","61052"
"France","1/8/2016","2:00","60472"
"France","1/8/2016","2:30","60007"
"France","1/8/2016","3:00","58258"
"France","1/8/2016","3:30","57299"
"France","1/8/2016","4:00","56299"
"France","1/8/2016","4:30","56400"
"France","1/8/2016","5:00","56633"
"France","1/8/2016","5:30","58606"
"France","1/8/2016","6:00","60582"
"France","1/8/2016","6:30","64199"
"France","1/8/2016","7:00","67772"
"France","1/8/2016","7:30","71485"
"France","1/8/2016","8:00","73458"
"France","1/8/2016","8:30","73741"
"France","1/8/2016","9:00","73252"
"France","1/8/2016","9:30","73459"
"France","1/8/2016","10:00","73089"
"France","1/8/2016","10:30","72784"
"France","1/8/2016","11:00","72594"
"France","1/8/2016","11:30","72594"
"France","1/8/2016","12:00","72485"
"France","1/8/2016","12:30","71848"
"France","1/8/2016","13:00","71595"
"France","1/8/2016","13:30","70361"
"France","1/8/2016","14:00","69590"
"France","1/8/2016","14:30","69048"
"France","1/8/2016","15:00","67299"
"France","1/8/2016","15:30","66688"
"France","1/8/2016","16:00","65981"
"France","1/8/2016","16:30","65871"
"France","1/8/2016","17:00","66090"
"France","1/8/2016","17:30","68404"
"France","1/8/2016","18:00","71167"
"France","1/8/2016","18:30","72284"
"France","1/8/2016","19:00","73249"
"France","1/8/2016","19:30","72362"
"France","1/8/2016","20:00","70659"
"France","1/8/2016","20:30","68623"
"France","1/8/2016","21:00","66419"
"France","1/8/2016","21:30","64798"
"France","1/8/2016","22:00","63329"
"France","1/8/2016","22:30","63511"
"France","1/8/2016","23:00","65814"
