"Perimetre","Date","Heures","Fioul","Charbon","Gaz","Nucleaire","Eolien","Solaire","Hydraulique","Pompage","Bioenergies"
"France","1/1/2016","0:00","296","21","2226","54383","2618","0","3594","-118","1052"
"France","1/1/2016","0:30","161","22","2227","54363","2478","0","3470","-236","1086"
"France","1/1/2016","1:00","160","22","2205","53715","2199","0","2516","-71","1091"
"France","1/1/2016","1:30","160","23","2212","54092","1966","0","2849","-83","1082"
"France","1/1/2016","2:00","160","22","2209","53886","1795","0","2533","-50","1091"
"France","1/1/2016","2:30","159","22","2231","54186","1586","0","2097","-619","1093"
"France","1/1/2016","3:00","159","22","2240","53811","1470","0","1897","-1902","1090"
"France","1/1/2016","3:30","159","22","2195","52542","1359","0","2024","-2970","1087"
"France","1/1/2016","4:00","159","22","2219","51831","1238","0","2016","-3258","1095"
"France","1/1/2016","4:30","158","22","2221","52083","1162","0","2304","-2960","1084"
"France","1/1/2016","5:00","158","22","2234","51517","1024","0","2270","-2878","1091"
"France","1/1/2016","5:30","159","23","2200","51681","977","0","2234","-1988","1085"
"France","1/1/2016","6:00","160","23","2191","52082","879","0","1936","-1986","1081"
"France","1/1/2016","6:30","160","22","2207","52421","863","0","1966","-1483","1084"
"France","1/1/2016","7:00","159","23","2220","52252","904","0","1935","-1512","1087"
"France","1/1/2016","7:30","160","22","2221","51723","1004","0","1991","-1897","1099"
"France","1/1/2016","8:00","160","22","2210","52119","1126","0","2050","-2823","1091"
"France","1/1/2016","8:30","159","22","2218","50424","1253","2","2191","-2947","1090"
"France","1/1/2016","9:00","159","22","2200","50568","1424","69","2307","-3169","1088"
"France","1/1/2016","9:30","159","23","2217","52164","1667","259","2697","-2364","1085"
"France","1/1/2016","10:00","160","23","2190","52447","1920","490","2663","-2154","1078"
"France","1/1/2016","10:30","161","23","2207","52867","2076","779","2700","-1428","1067"
"France","1/1/2016","11:00","160","24","2229","53483","2229","1094","2613","-1396","1072"
"France","1/1/2016","11:30","160","24","2232","53504","2408","1318","2514","-484","1079"
